"2022-01-24 02:22:16 [main] INFO  c.f.c.CreditApplicationSystemApplication - Starting CreditApplicationSystemApplication using Java 11.0.12 on Mühendis with PID 3852 (C:\Users\fyesi\OneDrive\Masaüstü\graduate-homework\credit-application-system\target\classes started by fyesi in C:\Users\fyesi\OneDrive\Masaüstü\graduate-homework\credit-application-system)
""2022-01-26 10:31:15 [main] INFO  c.f.c.CreditApplicationSystemApplicationTests - Starting CreditApplicationSystemApplicationTests using Java 11.0.12 on M�hendis with PID 11324 (started by fyesi in C:\Users\fyesi\OneDrive\Masa�st�\n11-bootcamp\credit-application-system)
""2022-01-26 10:31:15 [main] DEBUG c.f.c.CreditApplicationSystemApplicationTests - Running with Spring Boot v2.6.2, Spring v5.3.14
""2022-01-26 10:31:15 [main] INFO  c.f.c.CreditApplicationSystemApplicationTests - No active profile set, falling back to default profiles: default
""2022-01-26 10:31:16 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2022-01-26 10:31:16 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.3.Final
""2022-01-26 10:31:16 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2022-01-26 10:31:16 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2022-01-26 10:31:16 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2022-01-26 10:31:16 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
""2022-01-26 10:31:17 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2022-01-26 10:31:18 [main] INFO  c.f.c.CreditApplicationSystemApplicationTests - Started CreditApplicationSystemApplicationTests in 4.047 seconds (JVM running for 4.805)
""2022-01-26 10:31:18 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2022-01-26 10:31:18 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2022-01-26 10:31:27 [restartedMain] INFO  c.f.c.CreditApplicationSystemApplication - Starting CreditApplicationSystemApplication using Java 11.0.12 on Mühendis with PID 14832 (C:\Users\fyesi\OneDrive\Masaüstü\n11-bootcamp\credit-application-system\target\classes started by fyesi in C:\Users\fyesi\OneDrive\Masaüstü\n11-bootcamp\credit-application-system)
""2022-01-26 10:31:27 [restartedMain] DEBUG c.f.c.CreditApplicationSystemApplication - Running with Spring Boot v2.6.2, Spring v5.3.14
""2022-01-26 10:31:27 [restartedMain] INFO  c.f.c.CreditApplicationSystemApplication - No active profile set, falling back to default profiles: default
""2022-01-26 10:31:28 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2022-01-26 10:31:28 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
""2022-01-26 10:31:28 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
""2022-01-26 10:31:28 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2022-01-26 10:31:28 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.3.Final
""2022-01-26 10:31:28 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2022-01-26 10:31:28 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2022-01-26 10:31:28 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2022-01-26 10:31:28 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
""2022-01-26 10:31:29 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2022-01-26 10:31:30 [restartedMain] INFO  c.f.c.CreditApplicationSystemApplication - Started CreditApplicationSystemApplication in 3.004 seconds (JVM running for 3.765)
""2022-01-26 10:33:31 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2022-01-26 10:33:31 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2022-01-26 10:33:31 [restartedMain] INFO  c.f.c.CreditApplicationSystemApplication - Starting CreditApplicationSystemApplication using Java 11.0.12 on Mühendis with PID 14832 (C:\Users\fyesi\OneDrive\Masaüstü\n11-bootcamp\credit-application-system\target\classes started by fyesi in C:\Users\fyesi\OneDrive\Masaüstü\n11-bootcamp\credit-application-system)
""2022-01-26 10:33:31 [restartedMain] DEBUG c.f.c.CreditApplicationSystemApplication - Running with Spring Boot v2.6.2, Spring v5.3.14
""2022-01-26 10:33:31 [restartedMain] INFO  c.f.c.CreditApplicationSystemApplication - No active profile set, falling back to default profiles: default
""2022-01-26 10:33:31 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2022-01-26 10:33:31 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
""2022-01-26 10:33:31 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
""2022-01-26 10:33:32 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2022-01-26 10:33:32 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
""2022-01-26 10:33:32 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
""2022-01-26 10:33:32 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
""2022-01-26 10:33:32 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2022-01-26 10:33:32 [restartedMain] INFO  c.f.c.CreditApplicationSystemApplication - Started CreditApplicationSystemApplication in 0.923 seconds (JVM running for 126.213)
""2022-01-26 10:36:20 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2022-01-26 10:37:58 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
""2022-01-26 10:37:58 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
""2022-01-26 10:38:46 [main] INFO  c.f.c.CreditApplicationSystemApplicationTests - Starting CreditApplicationSystemApplicationTests using Java 11.0.12 on M�hendis with PID 16504 (started by fyesi in C:\Users\fyesi\OneDrive\Masa�st�\n11-bootcamp\credit-application-system)
